,text,Explanations,labels
251,"“I feel so lost, sad and alone and I don't know what to do.”","So lost, sad and alone,",4
252,"“Made some good friends when I moved to Melbourne at the age of 18, and never had any problems making friends until I was about 25. No longer have any friends at all.”","No longer have any friends at all,",4
253,"“I have been trying to get on top of everything all by myself, with varying degrees of success. Now I need more help again, I cannot trust the people at the local hospital. ""","Need more help again, cannot trust the people,",4
254,"“I also feel pressure to travel as I am in my late twenties, and that it will be harder to do when older.”","pressure,harder",0
255,“I can take 2 sleeping pills and 2 melatonins and not get a single second of sleep.”,"can take 2 sleeping pills and 2 melatonins, not get a single second of sleep,",3
256,"""I may just be immature and insecure but if that is the case I just want to be told.""","immature and insecure,",5
257,"“The stress of that episode seemed to tip me over the edge, and it was like the weight of the whole experience caught up with me.”","stress, tip me over the edge, weight of the whole experience caught up,",5
258,"“I am so torn. I barely sleep, I put her on my bed at night and she is often panting, crying in her sleep or having tremors”"," torn, crying",5
259,"I'm scared that no matter how much I overcome my anxiety and depression, it'll still be there. Even if it won't be as bad, just the thought that it'll be there forever, makes me feel broken beyond repair.","scared, overcome, broken beyond repair",0
260,“He has 3 children from a previous relationship whom I have to witness him loving upon them and I cant help but get jealous and compare how much he would have been a wonderful dad to our child.”,"cant help but get jealous, ",5
261,Every time I try my best to focus on recovery all my brain does is send me down an anxiety spiral of both shame and fear. I don't know what else I'm supposed to do.,"Anxiety spiral, shame and fear",5
262,"""I can't shake the regret, anger, and sadness I have with myself.""","regret, anger, sadness",2
263,“I’m so emotional right now and tired... oh so tired.”,"emotional, tired, so tired",5
264,"""I was diagnosed with depression and put on antidepressants and I've recently been diagnosed with ADHD along with having bad anxiety and somewhat of an ED.""","diagnosed with depression, put on antidepressants, diagnosed with ADHD, somewhat of an ED,",3
265,“Not only am I seeking them to modify how they communicate but also listen and have a dialogue on how to help me with making connections with people and improving my quality of life.”,"Help me with making connections with people,",4
266,"""Despite being newly employed, I barely get shifts and as I am someone who wants to move out thru rent choice youth, it is so much more complex.""","Employed, shifts, complex",1
267,“I had so much planned and now I can’t even plan to get past the day.”,"can't even plan to get past the day,",0
268,“I still feel as if l cannot be my true self around her since she does not appreciate it and thinks my true self is rude or has behavioral issues.”,"Cannot be my true self around her, she does not appreciate it, ",4
269,"“am now hyper-aware of my anxiety throughout the day. I realised that I am constantly worried about something... whether that be feeling anxious in social situations, worrying what others think of me, constantly replaying past conversations over and over in my head, always feeling sick even if I am not sick, worrying about being sick in public situations etc. I realised I don't think I'm ever really relaxed.”","always feeling sick even if I am not sick,",3
270,“I got so scared that I might not be able to cope with fast pace of the job. I am thinking that I won’t be able to catch up and learn how it works.”,"Scared, fat pace, job, catch up, works",1
271,"“Over all this time, my wife frequently and explicitly push away my advances, no matter how subtle. Then, my growing frustration and resentment resulted in blunt and direct advances by asking if she'd want to have sex. After the continued rejection, my advances became completely effortless and in the form of jokes as a defence mechanism to preserve some dignity and self respect. Paired with the lack of sex is a lack of intimacy.”","Push away my advances, frustration and resentment resulted in blunt and direct advances, continued rejection,  lack of sex, lack of intimacy,",4
272,"""I'm really struggling with my partner's family who hardly check in to see how our child is doing.""","Struggling with my partner’s family, ",4
273,“I’m really struggling with being alone”,"being alone,",4
274,"""I've tried many times to reach out and make plans, but I get rejected every time. I never get invited anywhere.""","Get rejected every time, never get invited anywhere,",4
275,"""He was a horrible man anyway but who's going to want an ugly fat single mum with 5 kids that are pretty much with me 24/7""","Who’s going to want an ugly fat single mum, ",4
276,"""I still have days where I’m absolutely shattered and other days I feel more hopeful for our future.""","absolutely shattered, ",4
277,“I’m embarrassed about my excessive spending and budgeting struggles.”,"Excessive spending, budgeting struggles",0
278,“I’ve recently gone through a lot of new experiences with starting uni and a new job which have been quite challenging.”,"Job, challenging, experiences",1
279,"""It was emotionally, mentally and physically draining for months on end.""","emotionally, mentally and physically draining,",5
280,“I feel so stupid & regretful that I ever joined & talked to her.”,"feel so stupid, regretful",2
281,"""It leaves me feeling like all I do is irritate and annoy him.""","leaves me feeling like all I do is irritate and annoy him,",5
282,Last week she told me she had resigned from her current position and is leaving. I am devastated from this loss and feeling overwhelmed with sadness. ,"Devastated from this loss, feeling overwhelmed with sadness",5
283,“When I do fall asleep I wake up in the early hours worrying and heart pounding.”,"wake up in the early hours, heart pounding,",3
284,“I really wish I got a job when I was 14 or even 15 and stayed with it! I would have had a much better Resume and found it easier to get other jobs.”,"Job, jobs",1
285,"“I struggle a lot with anxiety, constant fear of everything. Leaving the house, answering the phone, emails, people, food, noises, shops etc. Racing thoughts and constant worry about nothing and everything. ""","struggle a lot, anxiety constant fear of everything, Racing thoughts, constant worry,",2
286,"""since I was a teenager, I’ve just never felt normal and I’ve always had this cloud of gloom hanging over me that I can’t shake.""","never felt normal, cloud of gloom hanging over, ",2
287,“We both try and support her because she was sexually abused as a child so we tolerate her behaviour and support her even though she refuses help or to even recognise she has a problem.”,"tolerate her behaviour and support her, ",4
288,"""I just feel numb and empty.""","feel numb and empty,",2
289,"“of course the ridiculous shame, guilt, feelings of being a burden and not wanting to make a fuss”","Ridiculous shame, guilt, feelings of being a burden,",4
290,"“Everything about my hatred for myself, my inability to be who I want to be, my past has culminated to this decision, it’s just become too much. Psychology does nothing for me, it all sounds like bull. Nothing works no matter what I try. I will always be this shell of a person who is filled with hatred.”","inability, decision, sounds like bull, nothing works",0
292,“i continue to find that i don't look forward to anything anymore.”,don't look forward to anything anymore,2
293,"""I am 110% fed up with everything at the moment.""","fed up with everything,",5
294,“Pretty much all my work mates are now belittling me and gaslighting me. I feel like they’re trying to set me up to fail. it’s been so frustrating and confusing as I just want the truth as to why ?!?!?”,"Work mates are belittling me, gaslighting me, trying to set me up to fail,",4
295,"“I am constantly feeling negative myself now, worrying about him yet knowing he is doing nothing to help himself. I also feel guilty I am not helping him more, however I work full time and do uni full time also. I do not have the energy or time to be his carer, nor do I feel I should be when there is so much support services available to use.”","Feel guilty I am not helping, do not have the energy and time to be his carer,",4
296,"""Went to first General Practitioner appointment, said can't take me as a patient, too many health problems!""","can’t take me as a patient, too many health problems,",3
297,"""I've not cone to the understanding I have autism cptsd, OCD, anxiety, severe depression.""","autism, cptsd, OCD, anxiety, severe depression,",3
298,"“To top it all off i just lost my mother a year ago n still going through some tough grieving. I don't know what to do cause it’s even affecting my son.""","Just lost my mother year ago, going through some tough grieving, ",4
299,"“Many $$$ later, no govt supports mental health. I want to give up. ”","no govt supports mental health, want to give up,",5
300,"""It was emotionally, mentally and physically draining for months on end.""","physically draining,",3
301,“I feel like I've been punched in the guts and my heart is breaking.”," punched in the guts, heart is breaking,",4
302,"""I'm struggling with that, & I'm suffering anxiety & missing my peaceful home.""","Struggling, suffering anxiety, missing my peaceful home",5
303,"""I’m really beating myself up over it.""",beating myself up,2
304,"""I was groomed and sexually abused by my uncle when I was 16."" ","sexually abused,",5
305,“I live alone as well so when I’m having an anxiety attack at home it’s even worse.”,"live alone,",4
306,"""I find myself despising his behaviour, which I find selfish; inconsiderate.""","despising his behaviour, selfish, inconsiderate,",4
307,"""He is good most of the time but he gets these lows that make him lash out, isolate, reject me and say horrible things.""","gets these lows, lash out, isolate, reject me, say horrible things",5
308,"“I'm lonely. All of the usual things that sustain us are missing. He doesn't want to talk to me about my day, he doesn't hug me, he's cold and detached.”","Lonely, he doesn’t want to talk to me, doesn’t hug me, cold and detached,",4
309,"I’ve been experiencing constant fatigue, and no matter how much I sleep, I never feel rested ","constant fatigue, sleep, never rested",3
310,“I am considering ceasing anti-depressants that I have been on for over twenty years.”,"Anti-depressants ,",3
311,"“When my mum was pregnant with me, she lost her mother (5mths pregnant) and then lost her husband, my dad (7mths pregnant). I feel like i went through every emotion with her. That i felt all the stress and grief and loss that my mum suffered.”","Went through every emotion, stress, grief and loss,",3
312,“His way of dealing with things has been to literally throw himself into work and essentially make himself as busy as he possibly can.”,"Throw himself into work, as busy as he possible can",1
313,"“He just wants his life over. I just feel so much pressure to keep him alive, take care of him when he doesn't seem to be getting the support/results he needs from his psychiatrist and psychologist. There doesn't seem to be any light at the end of the tunnel and I feel guilty for keeping him alive.”","wants his life over, feel so much pressure, doesn't seem to be any light, feel guilty,",2
314,"“Beyond the norm, which for me is leaning to bad habits, old habits when yeah have just struggled with this every day. For a long time now it feels like”","bad habits, old habits, ",3
315,“I’m at the point where I feel like I’m going to snap and go crazy and use violence because inside I’m so angry at them for taking advantage of me and I’m angry at myself because I just want to stop!”,"feel like I’m going to snap and go crazy, so angry at them for taking advantage of me, angry at myself, just want to stop,",5
316,“I am lonely and going broke.”,"Lonely,",4
317,“it’s so hard to recognise my achievements when it seems like other people do all those things so easily and I’m drowning.”,"hard to recognise my achievements, drowning,",5
318,"“i have been so broken and crying everyday since my ex took off and took the boys""","have been so broken, crying everyday since my ex took off,",5
319,“Get Post natal depression.”,"Post natal depression,",3
320,"""Also, my team leader, I'm not very good at communicating with her.""","I'm not very good at communicating with her.,",4
321,"“Ever since I was little, my parents would ignore me and it doesn't get better as the years go on. They pay a lot of attention to my older sister and some to my younger sister, but I feel so unwanted.”","parents would ignore , unwanted,",4
322,"""It is so hard not to overthink things.""","Hard, overthink",0
323,“I feel that everyone I talk to treats me like I'm sub-human.”,"everyone I talk to treats me like I'm sub-human,",4
324,"""I have been suffering stress and anxiety for most of this year and since a couple of months I feel I have just reached my limit.""","suffering stress and anxiety, just reached my limit",5
325,“Don't know what to do.”,Don't know,2
326,"""I'm the only one in my friendship group that has lost a parent, let alone both... I find it hard to talk to my friends about this because they haven't experienced something similar.""","Find it hard to talk to my friends about this, lost a parent,",4
327,"I am just sick of overthinking things and assuming the worst is going to happen because of how I was treated in the past. I have major depression and severe anxiety which are both being medicated. I am communicating my feelings, but it makes me feel worthless and broken and it brings back my suicidal ideations.","overthinking, depression, severe anxiety, worthless, broken ",0
328,“That part of my heart has been left empty and hurting since and I don't want to mean to be nasty but when my father does pass away I want to be able to go to my mum and say why?”,Empty and hurting,5
329,"“This is severe, agonizing torture that poison my brain that have suffocating me for years, yet my brain still tells me that I am over reacting?”","severe, agonising torture, suffocating me for years, over reacting",2
330,"""He still can’t be open emotionally with me. He shuts me out and can’t be affectionate with me.""","can’t be open emotionally, shuts me out and can’t be affectionate,",5
331,"""I feel bad to admit that I am relieved when he leaves the house, and bummed out when he comes home.""","Relieved when he leaves the house,",4
332,“I also have a history of major depression and am still taking medication and undergoing psychotherapy”,"major depression, taking medication and undergoing psychotherapy,",3
333,I committed to university only to come out the other side with more doubts and uncertainties about my career than I had when I started. I feel like I’ve missed out on so many opportunities because I am an introvert,"university, doubts, uncertainties, career, missed opportunities, introvert",1
334,"“I am so miserable, I feel dead and all I see is darkness. I am in my early 50's. I need some serious help. I'm on a lot of medications, some that make me drowsy. I have trouble sleeping at night.”","on a lot of medications, make me drowsy, trouble sleeping at night,",3
335,"“I cannot reach out to other family, for betraying trust, and the don't feel supported with closer family.”","Betraying trust, don’t feel supported with closer family,",4
336,"“Ive been struggling with masturbation since I was really young. When I get the urge, I start feeling dizzy and shaky. My heart beats fast and I feel nauseous. After I feel disgusted and angry with myself.”","masturbation, dizzy and shaky, heart beats fast, feel nauseous, feel disgusted and angry,",3
337,To the point where my anxiety has led to panic attacks and SEVERE drop in work and parenting performance,"drop in work performance, parenting performance",1
338,"""I am still grieving, I can't so much as make a cup of tea without breaking down in tears."" ","grieving, breaking down in tears,",5
339,"""I am worried about his mental health and not sure what to do.""","Worried,mental health, ",3
341,“I (20F) have been struggling with mental health ever since I can remember. My earliest memories I have of my life is me feeling unworthy and depressed.”,"struggling with mental health, feeling unworthy, depressed",5
342,“I have this constant feeling of overwhelm and anxiety. Currently recovering from influenza A. I just want to feel normal again”,"recovering from influenza,",3
343,“Lets just say my anxiety prevents me enjoying a family BBQ. I have asked that my family engage with me at these events instead of letting me sit around avoiding people.”,"My anxiety prevents me enjoying a family BBQ, avoiding people, ",4
344,“I am so tired and groggy from constant worry but I can hardly sleep.”,"tired and groggy, hardly sleep,",3
345,“I will feel guilty that I am not working.”,"Guilty, working",1
346,"""Suicidal thought have been occurring more frequently over the past 4 months & I literally prepared to do it""","Suicidal thoughts,",2
347,"“I can't even stand up for myself, because I go into shut down when I need to act.”",can't even stand up for myself,2
348,"“I feel shattered, stupid and completely disgusted with myself.”","feel shattered, stupid and completely disgusted,",2
349,"“He is suffering from severe stress and as a result of this stress , it has caused him to become legally blind! (well documented, stress and blindness) He cannot drive nor work because of this.""","Stress, work",1
350,"I feel completely drained, exhausted from pretending everything is okay when, deep down, I know I’m falling apart emotionally.","Completely drained, exhausted, pretending, falling apart emotionally",5
351,"I'm sick of this miserable life and so exhausted to the point where I can't think or see properly now","miserable life, exhausted, can't think properly",0
352,"“However I am afraid he will continue to isolate, demanding more space and time, perhaps not even living with me when he returns home. Ultimately, trying to push me away until I finally leave. I have made it clear, I am sticking by him during his journey. He seems to ignore this part.”","Continue to isolate, push me away until I finally leave, ",4
353,“All I ever wanted was to be a mum and now it's like I can't be the mum I wanted and it hurts me”,hurts me,5
354,“I have become heavily addicted to porn and masturbation every day/night. To the point where it has become a disorder/disability.”,"heavily addicted to porn and masturbation, disorder, disability,",3
355,"""I fear he is losing interest and so now I am tearing myself apart trying to figure out what is wrong with me.""","tearing myself apart, trying to figure out what is wrong with me, fear,",5
356,"“Since then I’ve been on a roller-coaster of antidepressants, Electromagnetic Therapy and 4 long term hospital psych ward admissions.”","antidepressants, Electromagnetic Therapy,",3
357,"“I'm 24 and have finished my university degree which i forced myself to do out of fear of not having a career in the future. Now that I’m finished I'm really struggling to find a purpose in my life. I don’t want to do anything. Nothing interest me. Every job i apply for, if I get an interview i choose to not go as i no longer want the job, feel incompetent ”","University, degree, career, future, struggling, purpose, job, interview, incompetent",1
358,“I always feel empty and sad like inside me is just a black hole of empty nothingness and I am not good enough.”,"always feel empty and sad, inside me is a black hole of empty nothingness, am not good enough,",2
359,"""I am terrified of waking up each day with the realization she isn’t here with me anymore.""","terrified of waking up each day,",4
360,"“i’m almost 21 and have recently had some issues regarding hormones. so i’m starting to show signs of Polycystic ovary syndrome such as hirsutism (male pattern body hair e.g. chest, back, chin) and irregular periods however blood tests and ultrasounds show nothing unusual and there’s no signs of PCOS at all.”","issues regarding hormones, signs of Polycystic ovary syndrome, hirsutism,  irregular periods, blood tests and ultrasounds show nothing unusual,",3
361,“Ever since I can remember I have had a hard time making and then keeping friends.”,"Hard time making and then keeping friends,",4
362,"“Have no one to talk to. Very Lonely. I cry all the time. too much grief. More grief, more loneliness.”","Have no one to talk to, Very Lonely, more loneliness",4
363,"""As I know for myself that I get attached easily to an idea of someone.""",Idea,0
364,"So for the past year or two ive had really bad cognitive issues, with my memory, concentration, decision-making, everything... I work in a casual hospitality job, which I enjoy very much most of the time, however I am sometimes a little absent-minded- despite trying my hardest- and people get annoyed at me.","Really bad cognitive issues, concentration, decision making",0
365,"""I know I love him, he’s my best friend but I’m so broken.""","so broken, ",4
366,"“In the end I know my partner would be fine with supporting me, but what if I didn't have him? I would never be able to cope with all of this and the cost too!”","Never be able to cope with all of this, cost too",1
367,"Despite my privilege (growing up in a wealthy area with stable food, housing and education), I struggle to find jobs and experience due to my disability","wealthy, struggle, find jobs, experience",1
368,"“I had multiple skull fractures, bleeding on the brain quite badly and many broken bones.”","multiple skull fractures, bleeding on the brain, broken bones,",3
369,"For the past 6 months, I felt like suddenly I'm being sidelined at work, and my Team Leader stopped introducing me to newcomers and never acknowledged me in meetings","sidelined at work, never acknowledged",1
370,“I was too weak to do anything to defend myself.”,"too weak to do anything,",3
371,“In the end he wasn’t even allowed to leave the house anymore. He had no access to the internet or literally anything. ”,"wasn’t even allowed to leave the house, had no access to the internet,",4
372,“I feel like I don’t want to live in this life anymore”,"don’t want to live in this life anymore,",2
373,"“I feel so lost, sad and alone and I don't know what to do.”","feel so lost, sad, alone, don't know what to do",5
374,"""I've been getting unusual onsets of pain around my back, chest that come and go""","unusual onsets of pain,",3
375,"“I’m terrified it won’t be enough, or that I’ll crack under the pressure.”","terrified, pressure",2
376,“I have so much regret about not spending their last day with them and not being there in their final hours.”,so much regret,2
377,“There is nobody in my life who loves me. I'm in my 40's and my Sister won't talk to me at all and I don't know why. She has dragged my brother along for the ride and we used to get along well. My parents are emotional cripples and won't talk about anything.”,"Nobody in my life who loves me, sister wont talk to me at all , emotional cripples,",4
378,"""I feel like I've failed as a parent.""","feel like I've failed,",4
379,“last year I was having relationship problems and ended up in hospital with severe stress.”,"Relationship problems, severe stress, ",4
380,"I'm a shy person and socially awkward, so I don’t interact as much with colleagues and newcomers","shy, socially awkward, don't interact,",0
381,“a family friend that was very close to me has recently died and i feel like i cant take it anymore”,"feel like i cant take it anymore,",4
382,"""My late wife’s family excluded me from the viewing and cremation.""","excluded me from the viewing and cremation,",4
383,“I have been trying to sleep my life away it’s just painful. Been wanting to self harm and thoughts of suicide come especially when I’m trying to go to sleep at night.”,"Trying to sleep my life away, painful, self harm, suicide, ",3
384,"“I keep thinking that if I had just seen his message, maybe I could have gotten him to hold on for a little longer, which I know is selfish of me because he was obviously in so much pain.”","Selfish of me, so much pain,",5
385,"""I have Bipolar Disorder, Attention deficit disorder, and manic depression and often find these invasive thoughts debilitating.""","Bipolar Disorder, Attention deficit disorder, manic depression,",3
386,“The last 2 days before the holidays I had off due to legit sickness (stomach bug) then a reaction to my new anxiety meds.”,"legit sickness, stomach bug, ",3
387,“I am on antidepressants it's helping a bit not a lot.”,"antidepressants,",3
388,"“In the 19 years I've been in the workforce, the longest I have ever been in a job is eight months. I procrastinate, get bored easily and can't stick with anything.”","Procrastinate, bored easily",1
389,"“I have been getting excellent mental health treatment, but still felt really worn down about life""",Worn down about life,5
390,“Dealing with my son has taken an epic toll on us as a family unit.”,"Epic toll on us as a family unit,",4
391,"“Anxiety is paralysing me, it feels like life is “not real”, sometimes. Only break I have is when I am able to sleep..tried;1) letting go, surrendering 2) meditation 3) reading about the topic and learning more about it. nothing is working…""","Anxiety is paralysing, feels like life is not real, nothing is working,",2
392,"“The only reasonable inference is that this is how the police illegally target someone they deem to be a problem, and everyone seems to be ok with going along with it. This is causing me extreme anxiety.”",causing me extreme anxiety,5
393,"""My father passed away a month and a bit ago, while in the middle of trials.”","passed away, trials",5
394,“Why is everything in this world so unfair? Why am I always the wrong one? Why does nobody stand beside me? Nobody agrees with me nor think of me as anything significant.”,"Why does nobody stand beside me, nobody agrees with me,",4
395,“miso is Killing my marriage. Or is it already dead.”,"Killing my marriage, already dead,",4
396,"“I have this intense fear that if he goes there it'll somehow make him worse. Like he'll have a breakdown of worse. I am also worried he'd resent me. I am worried it wouldn't work. I am worried it will work but won't fix anything else.""","Worried, breakdown,",5
397,“I feel like I don’t even deserve friends anymore”,"Don't even deserve friends anymore,",4
398,"""I feel torn, I do get upset, angry.""","feel torn, get upset, angry,",5
399,"""He's triggered easily and responds with self-hate. I struggled to hear him saying 'I hate myself' in front of the kids.""","triggered easily and responds with self-hate, hate myself,",4
400,“I have periods of stability then a crash - I re-stabalise at a lower level of functionality. It has gotten to the point where I am agraphobic.”,"agraphobic, ",3
401,"My head is full of useless unnecessary thoughts and worries that I keep making up for myself. I can start a new activity or hobby only for me to hyper-fixate and get myself burnt out and wasting a lot of time and money that I really shouldn't be spending. I overthink things and that affects my enjoyment of the activities I do","unnecessary thoughts, worries, activity, hobby, hyper-fixate, burnt out, overthink, activities",0
402,“I feel trapped in a nightmare I can't wake up from.”,"trapped in a nightmare,",2
403,"“Making money from the people who need help the most but can afford it the least is unfair and unAustralian, to me.”","Making money from the people who need help the most,",4
404,"""Stress is getting me to the point that I have chronic headaches and nosebleeds, and my GP asked me to do a MRI.""","chronic headaches, nosebleeds,",3
405,"“1 child has gone virtually no contact, the youngest is verging on the same. Son is the only one still in semi-regular contact and he struggles with various aspects of their relationship. He has been on a knife's edge for some time and I don't know how to approach him.”","Virtually no contact, struggles with various aspects of their relationship,",4
406,“I’ve been told that my body can’t keep doing physical labour forever and I need to choose a new career pathway.”,"physical labour, new career",1
407,"I really only have 1 friend. We used to catch up every 2 weeks, and it was really great, but lately we only get to catch up about once a month or sometimes not even that often.""","Only have 1 friend, only get to catch up about once a month,",4
408,"""My daughter has admitted to having an eating disorder (restrictive intake).""","eating disorder, restrictive intake,",3
409,“But it sucks because overall I feel like I'm actually burdening my family more so my mum with all of my problems”,"sucks, burdening",5
410,"“I have suffered from major depression for over 20 years. At times feel like I'm a complete waste of being alive.""","suffered from major depression, feel like I'm a complete waste of being alive,",2
411,"""I’m too caught up with the idea of self-harm and/or suicide…""","too caught , idea of self-harm, suicide",2
412,"""I now suffer with depression, anxiety, PTSD, and schizophrenia.""","suffer with depression, PTSD, schizophrenia,",3
413,“I’m so sad and feel really alone.”,"Really alone,",4
414,"Even when I try to stay positive, sadness creeps in, making me question if I will ever truly feel happy again.",Sadness creeps,5
415,"“Mum passed away, had to move house twice, completed a course qualification, and being a single mum with very very little support.”","Single mum with very very little support, ",4
416,"Being 35, i feel i should have gotten to a point in my life where mistakes are minimised, and i can just live happily- I hate that this happened in my local neighbourhood But yeah, 12 months ago I was suicidal and in hospital. This strongly re-triggered my emotions and I cannot move past. Why am I always bad, my son deserves better.","Re-triggered my emotions, cannot move past, always bad",5
417,"""I keep getting flashbacks of all of us together, doing piggyback rides or stealing ice-cream or go kart rides.""","keep getting flashbacks, ",5
418,"""I try to do mindfulness and calm myself down but it helps only sometimes, other times it just makes me more restless and irritated.”","Mindfulness, restless, irritated",2
419,"“After my stigmatisation by public service as outcast with adhd, I am pushed more and more to the edge of society.”","stigmatisation by public service, pushed more and more to the edge of society, outcast with adhd,",4
420,"“I have been struggling with my mental health for as long as I can remember,”","struggling with my mental health,",3
421,"“I have no motivation I am crying all the time I hardly leave the house except for work and essentials.""","no motivation, crying all the time",5
422,"""It’s been 7 years since my mum passed away. It would’ve been her birthday in 7 days time and it’s just another reminder of how much I’ll never hear her laugh again.""","mum passed away, I’ll never hear her laugh again,",5
423,“Didn't realise it at first but later discovered i was suffering from protracted withdrawal after discovering many other people describing very similar experiences after ceasing antidepressants.”,"suffering from protracted withdrawal, experiences after ceasing antidepressants,",3
424,“However in the last few years I have been less intimate due to pain during intimacy. I have seen a doctor and am on a waitlist to see a endometriosis gynaecologist and have also been told by my gp I am also going through pre menopause symptoms.”," less intimate due to pain during intimacy, have seen a doctor, endometriosis gynaecologist, going through pre menopause symptoms,",3
425,“I wish I was never born.”,wish I was never born,2
426,"I have generalised anxiety disorder, OCD, mild/moderate depression, thoughts of self harm, intrusive thoughts constantly, avoidance of almost anything but not agoraphobic, childhood witness of sexual inappropriate behaviour, child of alcoholic, fibromyalgia, chronic fatigue syndrome, arthritis, and a few more. ","anxiety disorder, mild, moderate, depression, sexual inappropriate behaviour, alcoholic, fibromyalgia, chronic fatigue syndrome, arthritis",3
427,"I feel like I’m stuck in a loop of negative thoughts, and I don’t know how to break free from it.","stuck in loop, negative thoughts, break free",0
428,“Because I have turned to substance abuse I have been missing out on work more and more. If I keep this up I will lose my job.”,"Missing out, work, lose my job",1
429,"I wish I could find a job that doesn't drain every ounce of energy from me, but every option feels like just another dead end.","find a job, drain energy",1
430,"""it’s hard for me to even try and swallow the thought of becoming a mother myself ever without her here to guide me or share in the joy with me if/when that day comes.""","it’s hard for me, try and swallow the thought, without her here to guide me or share in the joy,",5
431,"""I lost my little 18 yr old child on Saturday. ""","lost my little child,",4
432,"Lost my job, no energy, no hope, no goals.. same thoughts and worries daily.. all day.. They say get help, see a doctor. Well I did and all he can do is write medication for me and give me a referral to a psychologist, which I cant afford! I’m not working and have no saving. ","lost my job, no goals, can't afford, no saving, not working",1
433,"""I often find myself comparing the two and feel because I still have these thoughts about my ex partner that I can’t love my current partner completely.""","Cant love my current partner completely,",4
434,"""I tried to take my own life as my kids had stopped talking to me for reasons I wish I understood.""","tried to take my own life,",2
435,"My sleep is disrupted, concentration wavering. I feel foggy, prone to mistakes and forgetfulness. These are only visible in action and behaviour. Minor frustrations set me off. And apologies to those concerned. This hypersensitivity and emotional deregulation catches me off guard. Grief manifests itself in the body and mind, even when the heart feels conflicted.","Sleep is disrupted, foggy, hypersensitivity, emotional deregulation, grief",3
436,“my issue is that I dream too big and have self acceptance problems.”,"have self acceptance problems, dream too big, ",2
437,"""I feel so pathetic, I can't deal with my Pops recent death, let alone my Mums encroaching one.""","feel so pathetic, can't deal with my Pops recent death, ",4
438,"“I work from home, have two kids and even the littlest of tasks seem too difficult to manage.""","Work, tasks, too difficult to manage",1
439,How do I live with this? I don't want to be conscious of it forever that it drives me crazy.,"live with this, drives me crazy",0
440,"“I feel broken, because on one hand I really want a friend to hang out with and chat with. But there is another part of me that doesn’t have the energy to contribute into any friendships.”","Feel broken, really want a friend to hang out with. Doesn’t have the energy to contribute into any friendships,",4
441,"""I contacted Grow meeting but no answer... so lonely and just crying.""","So lonely,",4
442,"""My wife and I argue regularly about how to address his behaviour. It's tearing us apart.""","Wife and I argue regularly, tearing us apart,",4
443,“I suffer from Bipolar 2. I was diagnosed almost 3 years ago and I don't cope any better now than I did back then.”,"suffer from Bipolar 2, don't cope any better,",3
444,“I have been told that I have PTSD. Everything seems so much worse since I have started working through it. I feel like I need to stop and get over it. ”,"have PTSD, Everything seems so much worse, feel like I need to stop and get over it,",5
445,"“I’ve been single for 6 years now, no romantic prospects and my love life is just a string of one night stands.”","No romantic prospects, my love life is just a string of one night stands,",4
446,“I have Type 1 diabetes which I've had for coming up 13 years. It has been badly controlled because I turn to sugar and junk food to make myself feel better.”,"have Type 1 diabetes, turn to sugar and junk food,",3
447,"“As of late, my relationship with my mum has really taken a turn for the worse.”","My relationship with my mum has really taken a turn for the worse,",4
448,"""I’ve never been in a proper relationship, I would never let it progress to that. I’ve barely dated anyone.""","Never been in a proper relationship, would never let it progress to that, barely dated anyone,",4
449,"I feel like I’m constantly underperforming at work, and it’s making me doubt my abilities","underperforming at work, doubt my abilities",1
450,"""I'm having a hard time getting out of the shame spiral this week, but trying to remember this is only temporary.""","having a hard time getting out of the shame spiral, trying to remember this is only temporary,",1
451,"""Doctors have given me no treatments to follow or drugs for RLS.""","No treatment to follow,",3
452,"“I know I need to do something to feel more happy from my chronic depression. How do I even have this conversation with my family, friends, or even work, about needing to go into a mental health hospital? I feel really embarrassed about it. I’m not the sort of person who wants to talk about my mental health struggles.”","chronic depression, feel really embarrassed, mental health struggles,",5
453,"""My father physically, mentally, and sexually abused me up until the age of 15 until I had finally had enough.""","physically, mentally, and sexually abused me,",3
454,"""I never doubted he loved me and still don't but am unsure if I should stay with him because of this and support him like I want or leave like everyone is telling me too because he keeps spiralling""","Unsure if I should stay with him, ",4
455," I am likely to end up jobless, cut off all benefits, and homeless, and the thought just makes me cry.","jobless, homeless, cut off benefits",1
456,"“I honestly can not win! This life I have is hard, and it's sad, I shouldn't have to suffer.”","Can not win, life I have is hard, sad, suffer",2
457,“for some reason i continue to put things in place that i think i enjoy doing but then realise that i don't like doing this activity that i maybe used to enjoy and ultimately end up hating myself more after.”,end up hating myself more,2
458,"""I live on my own but I’m not really living I’m just surviving with no love or happiness in my life.""","I’m not really living I’m just surviving, no love or happiness in my life,",2
459,"“Though it’s not easy and I feel like shit most of the time - like I’m too stupid for uni or I’m doing my job completely wrong, which led to a bit of a breakdown in front of my boss.”","shit most of the time, stupid for uni, doing my job completely wrong, breakdown in front of my boss,",0
460,"""Whenever I think of the worst that could happen, I have started to assure myself that in a worst case scenario, death is an option.""","worst that could happen, worst case scenario, death is an option",2
461,“I'm getting bad side effects though as in intermittent nausea and a more depressed mood with the nausea. The nausea is a common side effect but it is really getting me down.”,"bad side effects, intermittent nausea, nausea is a common side effect,",3
